A0,PA0
A1,PA1
A2,PA2
A3,PA3
A4,PA4
A5,PA5
A6,PA6
A7,PA7
A8,PA8
A9,PA9
A10,PA10
A11,PA11
A12,PA12
A13,PA13
A14,PA14
A15,PA15
B0,PB0
B1,PB1
B2,PB2
B3,PB3
B4,PB4
B5,PB5
B6,PB6
B7,PB7
B8,PB8
B9,PB9
B10,PB10
B11,PB11
B12,PB12
B13,PB13
B14,PB14
B15,PB15
C0,PC0
C1,PC1
C2,PC2
C3,PC3
C4,PC4
C5,PC5
C6,PC6
C7,PC7
C8,PC8
C9,PC9
C10,PC10
C11,PC11
C12,PC12
C13,PC13
D0,PD0
D1,PD1
D2,PD2
D3,PD3
D4,PD4
D5,PD5
D6,PD6
D7,PD7
D8,PD8
D9,PD9
D10,PD10
D11,PD11
D12,PD12
D13,PD13
D14,PD14
D15,PD15
E0,PE0
E1,PE1
E2,PE2
E3,PE3
E4,PE4
E5,PE5
E6,PE6
E7,PE7
E8,PE8
E9,PE9
E10,PE10
E11,PE11
E12,PE12
E13,PE13
E14,PE14
E15,PE15
F0,PF0
F1,PF1
F2,PF2
F3,PF3
F4,PF4
F5,PF5
F6,PF6
F7,PF7
F8,PF8
F9,PF9
F10,PF10
F11,PF11
F12,PF12
F13,PF13
F14,PF14
F15,PF15
G0,PG0
G1,PG1
G2,PG2
G3,PG3
G4,PG4
G5,PG5
G6,PG6
G7,PG7
G8,PG8
G9,PG9
G10,PG10
G11,PG11
G12,PG12
G13,PG13
G14,PG14
G15,PG15
H0,PH0
H1,PH1
H2,PH2
H3,PH3
H4,PH4
H5,PH5
H6,PH6
H7,PH7
H8,PH8
H9,PH9
H10,PH10
H11,PH11
H12,PH12
H13,PH13
H14,PH14
H15,PH15
I0,PI0
I1,PI1
I2,PI2
I3,PI3
I4,PI4
I5,PI5
I6,PI6
I7,PI7
I8,PI8
I9,PI9
I10,PI10
I11,PI11
I12,PI12
I13,PI13
I14,PI14
I15,PI15
LED1,PE2
LED2,PB14
LED3,PB15
LED4,PD11
SW,PE3
QSPIFLASH_CS,PB6
QSPIFLASH_SCK,PB2
QSPIFLASH_IO0,PF8
QSPIFLASH_IO1,PF9
QSPIFLASH_IO2,PF7
QSPIFLASH_IO3,PF6
SDMMC_D0,PC8
SDMMC_D1,PC9
SDMMC_D2,PC10
SDMMC_D3,PC11
SDMMC_CK,PC12
SDMMC_CMD,PD2
SDMMC_SD,PD7
USB_VBUS,PA9
USB_ID,PA10
USB_DM,PA11
USB_DP,PA12
UART2_TX,PA2
UART2_RX,PA3
UART3_TX,PB10
UART3_RX,PB11
SDRAM_SDCKE1,PH7
SDRAM_SDNE1,PH6
SDRAM_SDCLK,PG8
SDRAM_SDNCAS,PG15
SDRAM_SDNRAS,PF11
SDRAM_SDNWE,PC0
SDRAM_BA0,PG4
SDRAM_BA1,PG5
SDRAM_NBL0,PE0
SDRAM_NBL1,PE1
SDRAM_A0,PF0
SDRAM_A1,PF1
SDRAM_A2,PF2
SDRAM_A3,PF3
SDRAM_A4,PF4
SDRAM_A5,PF5
SDRAM_A6,PF12
SDRAM_A7,PF13
SDRAM_A8,PF14
SDRAM_A9,PF15
SDRAM_A10,PG0
SDRAM_A11,PG1
SDRAM_A12,PG2
SDRAM_D0,PD14
SDRAM_D1,PD15
SDRAM_D2,PD0
SDRAM_D3,PD1
SDRAM_D4,PE7
SDRAM_D5,PE8
SDRAM_D6,PE9
SDRAM_D7,PE10
SDRAM_D8,PE11
SDRAM_D9,PE12
SDRAM_D10,PE13
SDRAM_D11,PE14
SDRAM_D12,PE15
SDRAM_D13,PD8
SDRAM_D14,PD9
SDRAM_D15,PD10
FMC_NOE,PD4
FMC_NWE,PD5
LCD_NE3,PG10
FMC_A18,PD13
FMC_D0,PD14
FMC_D1,PD15
FMC_D2,PD0
FMC_D3,PD1
FMC_D4,PE7
FMC_D5,PE8
FMC_D6,PE9
FMC_D7,PE10
FMC_D8,PE11
FMC_D9,PE12
FMC_D10,PE13
FMC_D11,PE14
FMC_D12,PE15
FMC_D13,PD8
FMC_D14,PD9
FMC_D15,PD10